Source;Computational?;Answer;Difficulty;Topic;Problem;Solution
IMO 2021/3;0;N/A;;G;Let \(D\) be an interior point of the acute triangle \(ABC\) with \(AB>AC\) so that \(\angle DAB=\angle CAD\). The point \(E\) on the segment \(AC\) satisfies \(\angle ADE=\angle BCD\), the point \(F\) on the segment \(AB\) satisfies \(\angle FDA=\angle DBC\), and the point \(X\) on the line \(AC\) satisfies \(CX=BX\). Let \(O_1\) and \(O_2\) be the circumcentres of the triangles \(ADC\) and \(EXD\), respectively. Prove that the lines \(BC\), \(EF\), \(O_1O_2\) are concurrent.;
IMO 2021/4;0;N/A;;G;Let \(\Gamma\) be a circle with centre \(I\), and \(ABCD\) be a convex quadrilateral such that each of the segments \(AB\), \(BC\), \(CD\) and \(DA\) is tangent to \(\Gamma\). Let \(\Omega\) be the circumcircle of the triangle \(AIC\). The extension of \(BA\) beyond \(A\) meets \(\Omega\) at \(X\), and the extension of \(BC\) beyond \(C\) meets \(\Omega\) at \(Z\). The extensions of \(AD\) and \(CD\) beyond \(D\) meet \(\Omega\) at \(Y\) and \(T\), respectively. Prove that $$AD+DT+TX+XA=CD+DY+YZ+ZC.$$;
IMO 2021/5;0;N/A;;C;Two squirrels, Bushy and Jumpy, have collected \(2021\) walnuts for the winter. Jumpy numbers the walnuts from \(1\) through \(2021\), and digs \(2021\) little holes in a circular pattern in the ground around their favourite tree. The next morning Jumpy notices that Bushy had placed one walnut into each hole, but had paid no attention to the numbering. Unhapy, Jumpy decides to reorder the walnuts by performing a sequence of \(2021\) moves. In the \(k\)-th move, Jumpy swaps the positions of the two walnuts adjacent to walnut \(k\). <br> Prove that there exists a value of \(k\) such that, on the \(k\)-th move, Jumpy swaps some walnuts \(a\) and \(b\) such that \(a < k < b\).;
IMO 2021/6;0;N/A;;A;Let \(m\geqslant 2\) be an integer, \(A\) be a finite set of (not necessarily positive) integers, and \(B_1, B_2, B_3, \dots, B_m\) be subsets of \(A\). Assume that for each \(k=1, 2, \dots, m\) the sum of the elements of \(B_k\) is \(m^k\). Prove that \(A\) contains at least \(m/2\) elements.;
IMO 2020/1;0;N/A;;G;Consider the convex quadrilateral \(ABCD\). The point \(P\) is in the interior of \(ABCD\). The following ratio equalities hold: $$\angle PAD : \angle PBA : \angle DPA = 1 : 2 : 3 = \angle CBP : \angle BAP : \angle BPC.$$ Prove that the following three lines meet in a point: the internal bisectors of angles \(\angle ADP\) and \(\angle PCB\) and the perpendicular bisector of segment \(AB\).;
IMO 2020/2;0;N/A;;A;The real numbers \(a, b, c, d\) are such that \(a\geq b\geq c\geq d > 0\) and \(a+b+c+d=1\). Prove that $$(a+2b+3c+4d)a^ab^bc^cd^d < 1.$$;
IMO 2020/3;0;N/A;;C;There are \(4n\) pebbles of weights \(1, 2, 3, \dots, 4n\). Each pebble is coloured in one of \(n\) colours and there are four pebbles of each colour. Show that we can arrange the pebbles into two piles so that the following two conditions are both satisfied: <ul><li>The total weights of both piles are the same.</li><li>Each pile contains two pebbles of each colour.</li></ul>;
IMO 2020/4;0;N/A;;C;There is an integer \(n>1\). There are \(n^2\) stations on a slope of a mountain, all at different altitudes. Each of two cable car companies, \(A\) and \(B\), operates \(k\) cable cars; each cable car provides a transfer from one of the stations to a higher one (with no intermediate stops). The \(k\) cable cars of \(A\) have \(k\) different starting points and \(k\) different finishing points, and a cable car which starts higher also finishes higher. The same conditions hold for \(B\). We say that two stations are <i>linked</i> by a company if one can start from the lower station and reach the higher one by using one or more cars of that company (no other movements between stations are allowed). <br> Determine the smallest positive integer \(k\) for which one can guarantee that there are two stations that are linked by both companies.;
IMO 2020/5;0;N/A;;N;A deck of \(n>1\) cards is given. A positive integer is written on each card. The deck has the property that the arithmetic mean of the numbers on each pair of cards is also the goemetric mean of the numbers on some collection of one or more cards. <br> For which \(n\) does it follow that the numbers on the cards are all equal?;
IMO 2020/6;0;N/A;;G;Prove that there exists a positive constant \(c\) such that the following statement is true: <br> Conisder an integer \(n>1\), and a set \(\mathcal{S}\) of \(n\) points in the plane such that the distance between any two different points in \(\mathcal{S}\) is at least \(1\). It follow that there is a line \(\ell\) separating \(\mathcal{S}\) such that the distance from any point of \(\mathcal{S}\) to \(\ell\) is at least \(cn^{-1/3}\). <br> (A line \(\ell\) <i>separates</i> a set of points \(\mathcal{S}\) if some segment joining two points in \(\mathcal{S}\) crosses \(\ell\).) <br>  <br> Note. Weaker results with \(cn^{-1/3}\) replaced by \(cn^{-\alpha}\) may be awarded points depending on the value of the constant \(\alpha > 1/3\).;
IMO 2019/1;0;N/A;;A;Let \(\mathbb{Z}\) be the set of integers. Determine all functions \(f:\mathbb{Z}\rightarrow\mathbb{Z}\) such that, for all integers \(a\) and \(b\), $$f(2a)+2f(b)=f(f(a+b)).$$;
IMO 2019/2;0;N/A;;G;In triangle \(ABC\), point \(A_1\) lies on side \(BC\) and point \(B_1\) lies on side \(AC\). Let \(P\) and \(Q\) be points on segments \(AA_1\) and \(BB_1\), respectively, such that \(PQ\) is parallel to \(AB\). Let \(P_1\) be a point on line \(PB_1\), such that \(B_1\) lies strictly between \(P\) and \(P_1\), and \(\angle PP_1C = \angle BAC\). Similarly, let \(Q_1\) be a point on line \(QA_1\), such that \(A_1\) lies strictly between \(Q\) and \(Q_1\), and \(\angle CQ_1Q=\angle CBA\). <br> <br> Prove that points \(P\), \(Q\), \(P_1\) and \(Q_1\) are concyclic.;
IMO 2019/3;0;N/A;;C;A social network has \(2019\) users, some pairs of whom are friends. Whenver user \(A\) is friends with user \(B\), user \(B\) is also friends with user \(A\). Events of the following kind may happen repeatedly, one at a time: <br> <br> Three users \(A\), \(B\), and \(C\) such that \(A\) is friends with both \(B\) and \(C\), but \(B\) and \(C\) are not friends, change their friendship statuses such that \(B\) and \(C\) are now friends, but \(A\) is no longer friends with \(B\), and no longer friends with \(C\). All other friendship statuses are unchanged. Initially, \(1010\) users have \(1009\) friends each, and \(1009\) users have \(1010\) friends each. <br> <br> Prove that there exists a sequence of such events after which each user is friends with at most one other user.;
IMO 2019/4;0;N/A;;N;Find all pairs \((k, n)\) of positive integers such that $$k!=(2^n-1)(2^n-2)(2^n-4)\dots(2^n-2^{n-1}).$$;
IMO 2019/5;0;N/A;;C;The Bank of Bath issues coins with an \(H\) on one side and a \(T\) on the other. Harry has \(n\) of these coins arranged in a line from left to right. He repeatedly performs the following operation: if there are exactly \(k > 0\) coins showing \(H\), then he turns over the \(k\)<sup>th</sup> coin from the left; otherwise, all coins show \(T\) and he stops. For example, if \(n=3\) the process starting with the configuration \(THT\) would be \(THT\rightarrow HHT\rightarrow HTT\rightarrow TTT\), which stops after three operations. <br> <br> (a) Show that, for each initial configuration, Harry stops after a finite number of operations. <br> <br> (b) For each initial configuration \(C\), let \(L(C)\) be the number of operations before Harry stops. For example, \(L(THT)=3\) and \(L(TTT)=0\). Determine the average value of \(L(C)\) over all \(2^n\) possible initial configurations \(C\).;
IMO 2019/6;0;N/A;;G;Let \(I\) be the incentre of acute triangle \(ABC\) with \(AB\neq AC\). The incircle \(\omega\) of \(ABC\) is tangent to sides \(BC\), \(CA\), and \(AB\) at \(D\), \(E\), and \(F\), respectively. The line through \(D\) perpendicular to \(EF\) meets \(\omega\) again at \(R\). Line \(AR\) meets \(\omega\) again at \(P\). The circumcircles of triangles \(PCE\) and \(PBF\) meet again at \(Q\). <br> <br> Prove that lines \(DI\) and \(PQ\) meet on the line through \(A\) perpendicular to \(AI\).;
IMO 2018/1;0;N/A;;G;Let \(\Gamma\) be the circumcircle of acute-angled triangle \(ABC\). Points \(D\) and \(E\) lie on segments \(AB\) and \(AC\), respectively, such that \(AD=AE\). The perpendicular bisectors of \(BD\) and \(CE\) intersect the minor arcs \(AB\) and \(AC\) of \(\Gamma\) at points \(F\) and \(G\), respectively. Prove that the lines \(DE\) and \(FG\) are parallel (or are the same line).;
IMO 2018/2;0;N/A;;A;Find all integers \(n\geq 3\) for which there exist real numbers \(a_1, a_2, \dots, a_{n+2}\), such that \(a_{n+1}=a_1\) and \(a_{n+2}=a_2\), and $$a_ia_{i+1}+1=a_{i+2}$$ for \(i=1, 2, \dots, n\).;
IMO 2018/3;0;N/A;;C;An <i>anti-Pascal triangle</i> is an equilateral triangle array of numbers such that, except for the numbers in the bottom row, each number is the absolute value of the difference of the two numbers immediately below it. <br> <br> Does there exist an anti-Pascal triangle with \(2018\) rows which contains every integer from \(1\) to \(1+2+\dots+2018\)?;
IMO 2018/4;0;N/A;;C;A <i>site</i> is any point \((x,y)\) in the plane such that \(x\) and \(y\) are both positive integers less than or equal to \(20\). <br> Initially, each of the \(400\) sites is unoccupied. Amy and Ben take turns placing stones with Amy going first. On her turn, Amy places a new red stone on an unoccupied site such that the distance between any two sites occupied by red stones is not equal to \(\sqrt{5}\). On his turn, Ben places a new blue stone on any unoccupied site. (A site occupied by a blue stone is allowed to be at any distance from any other occupied site.) They stop as soon as a player cannot place a stone. <br> Find the greatest \(K\) such that Amy can ensure that she places at least \(K\) red stones, no matter how Ben places his stones.;
IMO 2018/5;0;N/A;;N;Let \(a_1, a_2, \dots\) be an infinite sequence of positive integers. Suppose that there is an integer \(N>1\) such that, for each \(n\geq N\), the number $$\frac{a_1}{a_2}+\frac{a_2}{a_3}+\dots+\frac{a_{n-1}}{a_n}+\frac{a_n}{a_1}$$ is an integer. Prove that there is a positive integer \(M\) such that \(a_m=a_{m+1}\) for all \(m\geq M\).;
IMO 2018/6;0;N/A;;G;A convex quadrilateral \(ABCD\) satisfies \(AB\cdot CD=BC\cdot DA\). Point \(X\) lies inside \(ABCD\) so that $$\angle XAB = \angle XCD \quad \textrm{and} \quad \angle XBC = \angle XDA.$$ Prove that \(\angle BXA+\angle DXC = 180^{\circ}\).;
IMO 2017/1;0;N/A;;N;For each integer \(a_0 > 1\), define the sequence \(a_0, a_1, a_2, \dots\) by: $$a_{n+1}=\begin{cases}\sqrt{a_n} & \textrm{if }\sqrt{a_n}\textrm{ is an integer} \\ a_n+3 &  \textrm{otherwise,} \end{cases}\quad \textrm{for each }n\geqslant 0.$$ Determine all values of \(a_0\) for which there is a number \(A\) for infinitely many values of \(n\).;
IMO 2017/2;0;N/A;;A;Let \(\mathbb{R}\) be the set of real numbers. Determine all functions \(f:\mathbb{R}\rightarrow\mathbb{R}\) such that, for all real numbers \(x\) and \(y\), $$f(f(x)f(y))+f(x+y)=f(xy).$$;
IMO 2017/3;0;N/A;;C;A hunter and an invisible rabbit play a game in the Euclidean plane. The rabbit's starting point, \(A_0\), and the hunter's starting point, \(B_0\), are the same. After \(n-1\) rounds of the game, the rabbit is at point \(A_{n-1}\) and the hunter is at point \(B_{n-1}\). In the \(n\)<sup>th</sup> round of the game, three things occur in order. <ol><li>The rabbit moves invisibly to a point \(A_n\) such that the distance between \(A_{n-1}\) and \(A_n\) is exactly \(1\). </li><li>A tracking device reports a point \(P_n\) to the hunter. The only guarantee provided by the tracking device to the hunter is that the distance between \(P_n\) and \(A_n\) is at most \(1\).</li><li>The hunter moves visibly to a point \(B_n\) such that the distance between \(B_{n-1}\) and \(B_n\) is exactly \(1\).</li></ol> Is it always possible, no matter how the rabbit moves, and no matter what points are reported by the tracking device, for the hunter to choose her moves so that after \(10^9\) rounds she can ensure that the distance between her and the rabbit is at most \(100\)?;
IMO 2017/4;0;N/A;;G;Let \(R\) and \(S\) be different points on a circle \(\Omega\) such that \(RS\) is not a diameter. Let \(\ell\) be the tangent line to \(\Omega\) at \(R\). Point \(T\) is such that \(S\) is the midpoint of the line segment \(RT\). Point \(J\) is chosen on the shorter arc \(RS\) of \(\Omega\) so that the circumcircle \(\Gamma\) of triangle \(JST\) intersects \(\ell\) at two distinct points. Let \(A\) be the common point of \(\Gamma\) and \(\ell\) that is closer to \(R\). Line \(AJ\) meets \(\Omega\) again at \(K\). Prove that the line \(KT\) is tangent to \(\Gamma\).;
IMO 2017/5;0;N/A;;C;An integer \(N\geqslant 2\) is given. A collection of \(N(N+1)\) soccer players, no two of whom are of the same height, stand in a row. Sir Alex wants to remove \(N(N-1)\) players from this row leaving a new row of \(2N\) players in which the following \(N\) conditions hold: <ul><li>no one stands between the two tallest players,</li><li>no one stands between the third and fourth tallest players,</li><li>...</li><li>no one stands between the two shortest players.</li></ul> Show that this is always possible.;
IMO 2017/6;0;N/A;;A;An ordered pair \((x,y)\) of integers is a <i>primitive point</i> if the greatest common divisor of \(x\) and \(y\) is \(1\). Given a finite set \(S\) of primitive points, prove that there exist a positive integer \(n\) and integers \(a_0, a_1, \dots, a_n\) such that, for every \((x, y)\) in \(S\), we have: $$a_0x^n+a_1x^{n-1}y+a_2x^{n-2}y^2+\dots+a_{n-1}xy^{n-1}+a_ny^n=1.$$;
IMO 2016/1;0;N/A;;G;Triangle \(BCF\) has a right angle at \(B\). Let \(A\) be the point on line \(CF\) such that \(FA=FB\) and \(F\) lies between \(A\) and \(C\). Point \(D\) is chosen such that \(DA=DC\) and \(AC\) is the bisector of \(\angle DAB\). Point \(E\) is chosen such that \(EA=ED\) and \(AD\) is the bisector of \(\angle EAC\). Let \(M\) be the midpoint of \(CF\). Let \(X\) be the point such that \(AMXE\) is a parallelogram (where \(AM\parallel EX\) and \(AE\parallel MX\)). Prove that the lines \(BD\), \(FX\), and \(ME\) are concurrent.;
IMO 2016/2;0;N/A;;C;Find all positive integers \(n\) for which each cell of an \(n\times n\) table can be filled with one of the letters \(I\), \(M\), \(O\) in such a way that: <ul><li>in each row and each column, one third of the entries are \(I\), one third are \(M\) and one third are \(O\); and</li><li>in any diagonal, if the number of entries on the diagonal is a multiple of three, then one third of the entires are \(I\), one third are \(M\) and one third are \(O\).</li></ul> <b>Note</b>: The rows and columns of an \(n\times n\) table are each labelled \(1\) to \(n\) in a natural order. Thus each cell corresponds to a pair of positive integers \((i, j)\) with \(1\leqslant i, j\leqslant n\). For \(n > 1\), the table has \(4n-2\) <i>diagonals</i> of two types. A diagonal of the first type consists of all cells \((i, j)\) for which \(i+j\) is constant, and a diagonal of the second type consists of all cells \((i, j)\) for which \(i-j\) is a constant.;
IMO 2016/3;0;N/A;;N;Let \(P=A_1A_2\dots A_k\) be a convex polygon in the plane. The vertices \(A_1, A_2, \dots, A_k\) have integral coordinates and lie on a circle. Let \(S\) be the area of \(P\). An odd positive integer \(n\) is given such that the squares of the side lengths of \(P\) are integers divisible by \(n\). Prove that \(2S\) is an integer divisible by \(n\).;
IMO 2016/4;0;N/A;;N;A set of positive integers is called <i>fragrant</i> if it contains at least two elements and each of its elements has a prime factor in common with at least one of the other elements. Let \(P(n)=n^2+n+1\). What is the least possible value of the positive integer \(b\) such that there exists a non-negative integer \(a\) for which the set $$\{P(a+1), P(a+2), \dots, P(a+b)\}$$ is fragrant?;
IMO 2016/5;0;N/A;;A;The equation $$(x-1)(x-2)\dots(x-2016)=(x-1)(x-2)\dots(x-2016)$$ is written on the board, with \(2016\) linear factors on each side. What is the least possible value of \(k\) for which it is possible to erase exactly \(k\) of these \(4032\) linear factors so that at least one factor remains on each side and the resulting equation has no real solutions?;
IMO 2016/6;0;N/A;;C;There are \(n\geqslant 2\) line segments in the plane such that every two segments cross, and no three segments meet at a point. Geoff has to chose an endpoint of each segment and place a frog on it, facing the other endpoint. Then he will clap his hands \(n-1\) times. Every time he claps, each frog will immediately jump forward to the next intersection point on its segment. Frogs never change the direction of their jumps. Geoff wishes to place the frogs in such a way that no two of them will ever occupy the same intersection point at the same time. <br> <br> (a) Prove that Geoff can always fulfil his wish if \(n\) is odd. <br> <br> (b) Prove that Geoff can never fulfil his wish if \(n\) is even.;
IMO 2015/1;0;N/A;;C;We say that a finite set \(\mathcal{S}\) of points in the plane is <i>balanced</i> if, for any two different points \(A\) and \(B\) in \(\mathcal{S}\), there is a point \(C\) such that \(AC=BC\). We say that \(\mathcal{S}\) is <i>centre-free</i> if for any three different points \(A\), \(B\) and \(C\) in \(\mathcal{S}\), there is no point \(P\) in \(\mathcal{S}\) such that \(PA=PB=PC\). <br> <br> (a) Show that for all integers \(n\geqslant 3\), there exists a balanced set consisting of \(n\) points. <br> <br> (b) Determine all integers \(n\geqslant 3\) for which there exists a balanced centre-free set consisting of \(n\) points.;
IMO 2015/2;0;N/A;;N;Determine all triples \(a, b, c\) of positive integers such that each of the numbers $$ab-c, bc-a, ca-b$$ is a power of \(2\). <br> (<i>A power of \(2\) is an integer of the form \(2^n\), where \(n\) is a non-negative integer.</i>);
IMO 2015/3;0;N/A;;G;Let \(ABC\) be an acute triangle with \(AB > AC\). Let \(\Gamma\) be its circumcircle, \(H\) its orthocentre, and \(F\) the foot of the altitude from \(A\). Let \(M\) be the midpoint of \(BC\). Let \(Q\) be the point on \(\Gamma\) such that \(\angle HQA=90^{\circ}\), and let \(K\) be the point of \(\Gamma\) such that \(\angle HKQ=90^{\circ}\). Assume that the points \(A\), \(B\), \(C\), \(K\) and \(Q\) are all different, and lie on \(\Gamma\) in this order. <br> <br> Prove that the circumcircles of triangles \(KQH\) and \(FKM\) are tangent to each other.;
IMO 2015/4;0;N/A;;G;Triangle \(ABC\) has circumcircle \(\Omega\) and circumcentre \(O\). A circle \(\Gamma\) with centre \(A\) intersects the segment \(BC\) at points \(D\) and \(E\), such that \(B\), \(D\), \(E\) and \(C\) are all different and lie on line \(BC\) in this order. Let \(F\) and \(G\) be the points of intersection of \(\Gamma\) and \(\Omega\), such that \(A\), \(F\), \(B\), \(C\), \(G\) lie on \(\Omega\) in this order. Let \(K\) be the second point of intersection of the circumcircle of triangle \(BDF\) and the segment \(AB\). Let \(L\) be the second point of intersection of the circumcircle of triangle \(CGE\) and the segment \(CA\). <br> <br> Suppose that the lines \(FK\) and \(GL\) are different and itnersect at the point \(X\). Prove that \(X\) lies on the line \(AO\).;
IMO 2015/5;0;N/A;;A;Let \(\mathbb{R}\) be the set of real numbers. Determine all functions \(f:\mathbb{R}\rightarrow\mathbb{R}\) satisfying the equation $$f(x+f(x+y))+f(xy)=x+f(x+y)+yf(x)$$ for all real numbers \(x\) and \(y\).;
IMO 2015/6;0;N/A;;C;The sequence \(a_1, a_2, \dots\) of integers satisfies the following conditions: <ul><li>\(1\leqslant a_j\leqslant 2015\) for all \(j\geqslant 1\);</li><li>\(k+a_k\neq l+a_l\) for all \(1\leqslant k < l\).</li></ul> Prove that there exist two positive integers \(b\) and \(N\) such that $$\left|\sum_{j=m+1}^n (a_j-b)\right|\leqslant 1007^2$$ for all integers \(m\) and \(n\) satisfying \(n > m \geq N\).;
IMO 2014/1;0;N/A;;A;Let \(a_0 < a_1 < a_2 < \dots\) be an infinite sequence of positive integers. Prove that there exists a unique integer \(n\geq 1\) such that $$a_n < \frac{a_0+a_1+\dots+a_n}{n} \leq a_{n+1}.$$;
IMO 2014/2;0;N/A;;C;Let \(n\geq 2\) be an integer. Consider an \(n\times n\) chessboard consisting of \(n^2\) unit squares. A configuration of \(n\) rooks on this board is <i>peaceful</i> if every row and every column contains exactly one rook. Find the greatest positive integer \(k\) such that, for each peaceful configuration of \(n\) rooks, there is a \(k\times k\) square which does not contain a rook on any of its \(k^2\) unit squares.;
IMO 2014/3;0;N/A;;G;Convex quadrilateral \(ABCD\) has \(\angle ABC = \angle CDA = 90^{\circ}\). Point \(H\) is the foot of the perpendicular from \(A\) to \(BD\). Points \(S\) and \(T\) lie on sides \(AB\) and \(AD\) respectively, such that \(H\) lies inside triangle \(SCT\) and $$\angle CHS - \angle CSB = 90^{\circ}, \quad \angle THC - \angle DTC = 90^{\circ}.$$ Prove that line \(BD\) is tangent to the circumcircle of triangle \(TSH\).;
IMO 2014/4;0;N/A;;G;Points \(P\) and \(Q\) lie on side \(BC\) of acute-angle triangle \(ABC\) so that \(\angle PAB = \angle BCA\) and \(\angle CAQ = \angle ABC\). Points \(M\) and \(N\) lie on lines \(AP\) and \(AQ\), respectively, such that \(P\) is the midpoint of \(AM\), and \(Q\) is the midpoint of \(AN\). Prove that the lines \(BM\) and \(CN\) intersect on the circumcircle of triangle \(ABC\).;
IMO 2014/5;0;N/A;;N;For each positive integer \(n\), the Bank of Cape Town issues coins of denomination \(\frac{1}{n}\). Given a finite collection of such coins (of not necessarily different denominations) with total value at most \(99+\frac{1}{2}\), prove that it is possible to split this collection into \(100\) or fewer groups, such that each group has total value at most \(1\).;
IMO 2014/6;0;N/A;;C;A set of lines in the plane is in <i>general position</i> if no two are parallel and no three pass through the same point. A set of lines in general position cuts the plane into regions, some of which have finite area; we call these its <i>finite regions</i>. Prove that for all sufficiently large \(n\), in any set of \(n\) lines in general position it is possible to colour at least \(\sqrt{n}\) of the lines blue in such a way that none of its finite regions has a complete blue boundary. <br> <br> <i>Note: </i> Results with \(\sqrt{n}\) replaced with \(c\sqrt{n}\) will be awarded points depending on the value of the constant \(c\).;
;;;;;;
;;;;;;
APMO 2023/1;0;N/A;;C;Let \(n\geq 5\) be an integer. Consider \(n\) squares with side lengths \(1, 2, \dots, n\), respectively. The squares are arranged in the plane with their sides parallel to the \(x\) and \(y\) axes. Suppose that no two squares touch, except possibly at the vertices. <br> Show that it is possible to arrange these squares in a way such that every square touches exactly two other squares.;
APMO 2023/2;0;N/A;;N;Find all integers \(n\) satisfying \(n\geq 2\) and \(\frac{\sigma(n)}{p(n)-1}=n\), in which \(\sigma(n)\) denotes the sum of all positive divisors of \(n\), and \(p(n)\) denotes the largest prime divisor of \(n\).;
APMO 2023/3;0;N/A;;G;Let \(ABCD\) be a parallelogram. Let \(W\), \(X\), \(Y\), and \(Z\) be points on sides \(AB\), \(BC\), \(CD\), and \(DA\), respectively, such that the incenters of \(AWZ\), \(BXW\), \(CYX\) and \(DZY\) form a parallelogram. Prove that \(WXYZ\) is a parallelogram.;
APMO 2023/4;0;N/A;;A;Let \(c>0\) be a given positive real and \(\mathbb{R}_{>0}\) be the set of all positive reals. Find all functions \(f:\mathbb{R}_{>0}\rightarrow\mathbb{R}_{>0}\) such that $$f((c+1)x+f(y))=f(x+2y)+2cx\quad \textrm{for all } x, y \in\mathbb{R}_{>0}.$$;
APMO 2023/5;0;N/A;;C;There are \(n\) line segments on the plane, no three intersecting at a point, and each pair intersecting once in their respective interiors. Tony and his \(2n-1\) friends each stand at a distinct endpoint of a line segment. Tony wishes to send Christmas presents to each of his friends as follows: <br> First, he chooses an endpoint of each segment as a "sink". Then he places the present at the endpoint of the segment he is at. The present moves as follows: <ul><li>If it is on a line segment, it moves towards the sink.</li><li>When it reaches an intersection of two segments, it changes the line segment it travels on and starts moving towards the new sink.</li></ul> If the present reaches an endpoint, the friend on that endpoint can receive their present. Prove that Tony can send presents to exactly \(n\) of his \(2n-1\) friends.;
APMO 2022/1;0;N/A;;N;Find all pairs \((a, b)\) of positive integers such that \(a^3\) is a multiple of \(b^2\) and \(b-1\) is a multiple of \(a-1\). <br> <i>Note: An integer \(n\) is said to be a multiple of an integer \(m\) if there is an integer \(k\) such that \(n=km\).</i>;
APMO 2022/2;0;N/A;;G;Let \(ABC\) be a right triangle with \(\angle B = 90^{\circ}\). Point \(D\) lies on the line \(CB\) such that \(B\) is between \(D\) and \(C\). Let \(E\) be the midpoint of \(AD\) and let \(F\) be the second intersection point of the circumcircle of \(\triangle ACD\) and the circumcircle of \(\triangle BDE\). Prove that as \(D\) varies, the line \(EF\) passes through a fixed point.;
APMO 2022/3;0;N/A;;A;Find all positive integers \(k < 202\) for which there exists a positive integer \(n\) such that $$\left\{\frac{n}{202}\right\}+\left\{\frac{2n}{202}\right\}+\dots+\left\{\frac{kn}{202}\right\}=\frac{k}{2},$$ where \(\{x\}\) denotes the fractional part of \(x\). <br> <i>Note: The fractional part of a real number \(x\) is defined as the real number \(k\) with \(0\leq k < 1\) such that \(x-k\) is an integer.</i>;
APMO 2022/4;0;N/A;;C;Let \(n\) and \(k\) be positive integers. Cathy is playing the following game. There are \(n\) marbles and \(k\) boxes, with the marbles labelled \(1\) to \(n\). Initially, all marbles are placed inside one box. Each turn, Cathy chooses a box and then moves the marbles with the smallest label, say \(i\), to either any empty box or the box containing marble \(i+1\). Cathy wins if at any point there is a box containing only marble \(n\). <br> Determine all pairs of integers \((n, k)\) such that Cathy can win the game.;
APMO 2022/5;0;N/A;;A;Let \(a, b, c, d\) be real nubmers such that \(a^2+b^2+c^2+d^2=1\). Determine the minimum value of \((a-b)(b-c)(c-d)(d-a)\) and determine all values of \((a, b, c, d)\) such that the minimum value is achieved.;
APMO 2021/1;0;N/A;;A;Prove that for each real number \(r > 2\), there are exactly two or three positive real numbers \(x\) satisfying the equation \(x^2=r\lfloor x\rfloor\). <br> <i>Note: \(\lfloor x\rfloor\) denotes the largest integer less than or equal to \(x\).</i>;
APMO 2021/2;0;N/A;;A;For a polynomial /(P/) and a positive integer \(n\), define \(P_n\) as the number of positive integer pairs \((a, b)\) such that \(a < b\leq n\) and \(|P(a)|-|P(b)|\) is divisible by \(n\). Determine all polynomial \(P\) with integer coefficients such that \(P_n \leq 2021\) for all positive integers \(n\).;
APMO 2021/3;0;N/A;;N;Let \(ABCD\) be a cyclic convex quadrilateral and \(\Gamma\) be its circumcircle. Let \(E\) be the intersection of the diagonals \(AC\) and \(BD\), let \(L\) be the center of the circle tangent to sides \(AB\), \(BC\), and \(CD\), and let \(M\) be the midpoint of the arc \(BC\) of \(\Gamma\) not containing \(A\) and \(D\). Prove that the excenter of triangle \(BCE\) opposite \(E\) lies on the line \(LM\).;
APMO 2021/4;0;N/A;;C;Given a \(32\times 32\) table, we put a mouse (facing up) at the bottom left cell and a piece of cheese at several other cells. The mouse then starts moving. It moves forward except that when it reaches a piece of cheese, it eats a part of it, turns right, and continues moving forward. We say that a subset of cells containing cheese is good if, during this process, the mouse taste each piece of cheese exactly once and then falls off the table. Show that: <br> <br> (a) No good subset consists \(888\) cells. <br> (b) There exists a good subset consisting of at least \(666\) cells.;
APMO 2021/5;0;N/A;;A;Determine all functions \(f:\mathbb{Z}\rightarrow\mathbb{Z}\) such that \(f(f(a)-b)+bf(2a)\) is a perfect square for all integers \(a\) and \(b\).;
APMO 2020/1;0;N/A;;G;Let \(\Gamma\) be the circumcircle of \(\triangle ABC\). Let \(D\) be a point on the side \(BC\). The tangent to \(\Gamma\) at \(A\) intersects the parallel line to \(BA\) through \(D\) at \(E\). The segment \(CE\) intersects \(\Gamma\) again at \(F\). Suppose \(B, D, F, E\) are concyclic. Prove that \(AC, BF, DE\) are concurrent.;
APMO 2020/2;0;N/A;;A;Show that \(r=2\) is the largest real number \(r\) which satisfies the following condition: <br> If a sequence \(a_1, a_2, \dots\) of positive integers fulfills the inequalities $$a_n\leq a_{n+2}\leq \sqrt{a_n^2+ra_{n+1}}$$ for every positive integer \(n\), then there exists a positive integer \(M\) such that \(a_{n+2}=a_n\) for every \(n\geq M\).;
APMO 2020/3;0;N/A;;C;Determine all positive integers \(k\) for which there exist a positive integer \(m\) and a set \(S\) of positive integers such that any integer \(n > m\) can be written as a sum of distinct elements of \(S\) in exactly \(k\) ways.;
APMO 2020/4;0;N/A;;A;Let \(\mathbb{Z}\) denote the set of all integers. Find all polynomials \(P(x)\) with integer coefficients that satisfy the following property: <br> For any infinite sequence \(a_1, a_2, \dots\) of integers in which each integer in \(\mathbb{Z}\) appears exactly once, there exist indices \(i < j\) and an integer \(k\) such that \(a_i+a_{i+1}+\dots+a_j=P(k)\).;
APMO 2020/5;0;N/A;;C;Let \(n\geq 3\) be a fixed integer. The number \(1\) is written \(n\) times on a blackboard. Below the blackboard, there are two buckets that are initially empty. A move consists of erasing two of the numbers \(a\) and \(b\), replacing them with the numbers \(1\) and \(a+b\), then adding one stone to the first bucket and \(\gcd(a, b)\) stones to the second bucket. After some finite number of moves, there are \(s\) stones in the first bucket and \(t\) stones in the second bucket, where \(s\) and \(t\) are positive integers. Find all possible values of the ratio \(\frac{t}{s}\).;
